id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
1053419,A Not So Merry Christmas,6.868,140,Released,2022-12-20,0,99,False,/8uyJzaiGbiezZ9K48Cy5wXeqnYw.jpg,0,,tt23808016,es,Reviviendo la Navidad,"A curse is placed on grinchy Chuy, who wakes up to find he's lived a full year, but is doomed to remember only Christmas Day. Every year. From now on.",11.231,/xdZ5BIkQTGjZgCacdQQy7qNnoQ2.jpg,,"Comedy, Family",,Mexico,Spanish,"remake, christmas, time jump"
531370,Sa Tokyo Ikinasal,0.0,0,Released,1948-12-20,0,101,False,,0,,tt0442461,tl,Sa Tokyo Ikinasal,"Is a story about brothers Carlos and Fidel, who are both decorated war heroes. But their closeness will be challenged as they try to win the heart of their common love, Liling. Liling is actually their adopted sister. Now that she is of age, she is free to choose between Carlos and Fidel.",0.6,/2tskb3tGB1HQZznhwN8pxqr053Q.jpg,,"Drama, Romance, Music",LVN Pictures,Philippines,Tagalog,
394841,Caroline Pearce - Total Body Blitz,0.0,0,Released,2013-01-01,0,60,False,,0,http://www.carolinepearce.co.uk,,en,Caroline Pearce - Total Body Blitz,"TOTAL CARDIO BLITZ has been designed to give you the best combination of fat blasting and body toning workouts in just 10 minutes or less. Former International Athlete &amp; Gladiator, Caroline Pearce has spent many years discovering the best ways to stay in shape. Using her sports scientist and heptathlon training experience, Caroline has created several unique systems to maximize your calorie burn and define your body. Her new ultra effective routines are designed to give you the best benefits in the shortest amount of time so you can burn and blitz away the fat in just 10 minutes!",0.6,,Fat burning & toning routines,,,,,
580088,Beyond Blood,0.0,0,Released,2019-08-23,0,92,False,,0,,tt10107012,en,Beyond Blood,"High Tension, Inside, Martyrs, Frontier(s) and Them. In the years of 2003 to 2008, those sensational and innovative horror movies were made and left huge impact around the world. This movement is called New Wave of French Horror. This film explores the meaning and hidden secrets of this significant movement.",0.6,/k1haYLXim0o4dVNWnWpTfBILPj1.jpg,,Documentary,,Japan,"English, French, Japanese",
1302382,Inside No. 9 : The Riddle of the Sphinx,0.0,0,Released,,0,31,False,,0,,,en,Inside No. 9 : The Riddle of the Sphinx,"Nina thinks Professor Squires has all the answers when actually, neither has a clue what the future holds. With deadly intent, they commence a battle of wits to solve the puzzle and reveal the guardian of their fate.",0.6,/4uIBvVQ6azutivxhlfEzlrKDpVQ.jpg,,,,,,
716920,The Rose Maker,6.724,67,Released,2020-09-24,0,105,False,/u3UR85BFEYoYPqrunIIprRmMYhx.jpg,0,,tt11190652,fr,La Fine Fleur,"Eve used to be one of the most famous rose creators in the world. Today, her company is on the verge of bankruptcy. On top of that, her secretary Vera has hired three outcasts with absolutely no gardening skills. Though they have nothing in common, they come up with the most crazy plan that could change their lives forever...",7.114,/n483iObdjFSkz2AOivAAHloDBr2.jpg,Every garden blooms in its own season,Comedy,"Estrella Productions, France 3 Cinéma, Auvergne-Rhône-Alpes Cinéma",France,French,"flower vendor, flower garden, economic problems"
333743,Cat on Fire,7.0,1,Released,1977-01-02,0,0,False,,0,,tt1177167,ar,قطة على نار,Cat on Hot Tin Roof adaptation directed by Samir Seif.,1.12,/hGY0E2EKL55UacE5jDLDahUy6qU.jpg,,,,Egypt,Arabic,
1396573,Krampus and the Crazy Cats,0.0,0,Released,,0,73,False,,0,,,en,Krampus and the Crazy Cats,"On Krampus Day, two women set out to lure a peculiar creature into a trap, to kill him, and serve his meat for an annual tradition.",0.6,,,,,,,
1313556,Nobody Perfect Like You,0.0,0,Released,2024-06-29,0,0,False,,0,,,th,Nobody Perfect Like You,,1.4,/minANJAZR7i4xPVtduvibbzoDWG.jpg,,Drama,,,Thai,"aggressive, dramatic"
1552424,Off-Side,0.0,0,Released,2019-04-19,0,0,False,,0,,,es,Off-Side,"Two football soccer Mexican fans win a trip to the 2018 World Cup in Russia, during their journey they raffle different adventures that they draw, until a night of partying where they meet two very peculiar Finland girls who offside their lives for ever.",0.0,/gAMuJfwsOXu67VCxS1rLOADsoSM.jpg,,,,"Mexico, Russia, Finland","English, Finnish, Russian, Spanish",
353426,The Very Best of WCW Monday Nitro Vol.3,0.0,0,Released,2015-08-11,0,0,False,,0,,tt4938418,en,The Very Best of WCW Monday Nitro Vol.3,"Nitro was WCW's flagship show for over 5 years, yielding over 500 hours of action-packed entertainment. Nitro Volumes 1 & 2 combined to showcase a multitude of classic moments. Volume 3 continues this series and this time, anything is possible!",1.266,/kq0vxguXuaTktZ00ubs8A0MUIrQ.jpg,,,,,,
520793,Vienna by Tram,6.0,1,Released,1906-04-25,0,4,False,,0,,tt3403096,en,Vienne en tramway,A tram ride through Vienna. Actuality of Pathe Freres.,0.6,,,,Pathé Frères,,,
1102956,Plástico cruel,0.0,0,Released,,0,0,False,,0,,tt0431990,es,Plástico cruel,,0.6,,,,,,,
147834,The Return of the Durango Kid,8.0,2,Released,1945-04-19,0,58,False,/9RgLR1QW0oiJd5vHuExrDyLbVII.jpg,0,,tt0037218,en,The Return of the Durango Kid,A masked outlaw steals from bank robbers to help the poor.,2.144,/3Zc7Z35WIkT4mp9jrFAKmZSpKrK.jpg,GALLOP TO GLORY WITH A GREAT NEW HERO...ROBIN HOOD OF THE RANGE!,Western,Columbia Pictures,United States of America,English,texan
942975,FLASHING MORNING,0.0,0,Released,1992-01-01,0,6,False,,0,,,ja,点滅の朝,"Two young rubbish cleaners are working in a deserted high-rise before dawn. A middle-aged businessman walks past them, deliberately cracks open a bottle of alcohol and walks away. They stare at him with dark eyes, still feeling the way they did a month ago when they found the dead body of a woman. As one of them picks up a bottle of wine, the other finds a plastic bag in the pile of rubbish, which seems to contain a cat.",0.6,/tUuFjGOtW6zbeVAr5lPt4zQiMDr.jpg,,,,Japan,Japanese,
1511778,OBX,0.0,0,Released,,4,24,False,,1,https://youtube.com/@therealmckenziereed?si=pPMhP27Yout2n2qv,,en,OBX,"In a quiet Outer Banks beach town brimming with sun-faded secrets and salt-kissed mornings, 14-year-old Ziggy drifts through summer alone, undesired and searching. With no crew, no map, and no one to impress, she bikes the coast, swims under moonlight, and fills her journal with poetry and Polaroids. Haunted by the feeling she's meant for something more-but unsure what that even means-Ziggy sets out on a quiet quest for identity, healing, and purpose. As the tide pulls away the past, she slowly begins to discover the girl she's becoming in the stillness between waves. A raw, atmospheric coming-of-age tale about growing up without a script-and finding freedom in solitude.",0.0,,"No crew, no plan, just a girl in the waves",,,,,
296471,הגוגונים ודתיה גם,0.0,0,Released,2009-01-12,0,0,False,,0,,,he,הגוגונים ודתיה גם,,0.6,,,,,,Hebrew,
469805,Children in the Woods,6.0,1,Released,,0,20,False,,0,,,en,Children in the Woods,"During an autumn picnic, a young boy and girl escape to the woods, where they tell fantastic stories that reflect their feelings for each other.",0.6,,,,,,,
993659,Sticky Pinecones,0.0,0,Released,2021-10-16,0,0,False,,0,,tt13947242,en,Sticky Pinecones,"While out on a morning walk, a man is offered the gift of a smile and a sticky pinecone, and it changes his life forever.",0.6,/qvuUPwHLLQyUMJH4io9cd1ATzXS.jpg,,Family,,United States of America,English,
1623364,Idylle,0.0,0,Released,1983-05-04,0,6,False,,0,,tt2023529,fr,Idylle,"Beginning of the century. In a train, a young woman who comes to Paris as a nurse. In front of her, a young man who also wants to join the capital as a mason. Soon the lady complains of discomfort and pain, she has not given breast since yesterday. Finally, the man proposes to help her pour out her overflow of milk. It had been three days since he had eaten anything.",0.0071,,,,Cinéastes Associés,France,French,
1229990,Teens Love Huge Cocks 63,0.0,0,Released,2023-11-20,0,149,True,,0,,,en,Teens Love Huge Cocks 63,Teens Love Huge Cocks 63,0.0,/7Kaw1lxlNoBTeFciGRSSsBxxdz3.jpg,,,Reality Kings,,,
437933,Longing for a Kiss,5.1,8,Released,2017-09-28,0,90,False,,0,,tt4368582,de,Wann endlich küsst Du mich?,"Pregnant, and at that age! This is the case twice with the Rosemeyer family. Both 16-year-old Viola and her mother Doris, in her mid-40s, are unexpectedly pregnant. Yet family life is already difficult anyway: teenage daughter Viola wants to go to London to play school and at the same time prove that she is very old enough to start a family with her boyfriend Jo. But Jo would not necessarily be in such a hurry to be a father.",0.926,/y5MQnWfuL1fClV4CPfH8YNev8Yg.jpg,,"Drama, Comedy","U5 Filmproduktion, SWR, Filmakademie Baden-Württemberg, ARTE",Germany,German,
238317,The Candle and the Moth,5.2,4,Released,1915-02-18,0,62,False,,0,,tt0127544,da,Evangeliemandens liv,"Young hothead Billy, quick to speak and drifting into a life of crime, has many encounters the community's lay preacher, John Redmond. Billy's conscience stirs as Redmond recounts his life's story. Holger-Madsen supplied three different endings for the film's various releases.",1.073,/cXevvB5iFmaijz8s4vxS4PZlsoP.jpg,,Drama,Nordisk Film Denmark,Denmark,No Language,
329496,Gece,4.3,14,Released,2014-11-14,0,0,False,,0,,tt3836308,tr,Gece,,1.639,/sbHemfTwWHbjedDGmqjxb1i4n1p.jpg,,Drama,Deniz Film Produksiyon,Turkey,Turkish,
398794,The Persuaders,8.0,3,Released,2004-11-09,0,55,False,,0,http://www.pbs.org/wgbh/pages/frontline/shows/persuaders/,tt0438320,en,The Persuaders,"PBS Frontline takes an in-depth look at the multibillion-dollar ""persuasion industries"" of advertising and public relations and how marketers have developed new ways of integrating their messages deeper into the fabric of our lives. Through sophisticated market research methods to better understand consumers and by turning to the little-understood techniques of public relations to make sure their messages come from sources we trust, marketers are crafting messages that resonate with an increasingly cynical public.",0.746,,,Documentary,,,English,"marketing, advertising, public relations, woman director, editorial"
1589306,Me The Machine - Lightyears,0.0,0,Released,2025-08-22,0,8,False,,40,https://www.methemachine.net,tt37547030,en,Me The Machine - Lightyears,"Set in a decaying carnival world, Lightyears follows a broken magician whose chance encounter with a mysterious woman sparks a surreal rise to power. As magic, desire, and ego collide, the line between illusion and reality begins to blur. A haunting visual fable about transformation, temptation, and the cost of wonder.",0.0071,,,"Horror, Music",Zombie Dog Productions,,,
1290275,Fidil Ghorm,0.0,0,Released,,0,85,False,,0,,,en,Fidil Ghorm,"Molly is a ten-year-old girl who believes that if she learns to play the fiddle like her dad and wins the All-Ireland Music championship, her father will wake from his coma.  Still in a coma, her dad is moved to a rehab centre, where Molly befriends Malachy, a grumpy old man who plays the fiddle beautifully and is told he has magic in his hands. They connect as she coaxes him to teach her to play and together they go in search of the magic that only music can bring.",0.0,,,,,,,
26535,Billy Liar,6.919,99,Released,1963-08-15,35609,98,False,/7GnuKyGYNgIxTd9jC5SZZFSIbSP.jpg,0,,tt0056868,en,Billy Liar,A young Englishman dreams of escaping from his working class family and dead-end job as an undertaker's assistant. A number of indiscretions cause him to lie in order to avoid the penalties. His life turns into a mess and he has an opportunity to run away and leave it all behind.,10.076,/hUPTSs0NjcV3PwZUDwAvnP7TOrY.jpg,one guy ... three girls ... one ring!,"Comedy, Drama, Romance","Vic Films Productions, Waterfall Productions",United Kingdom,English,"dream, northern england, based on novel or book, lie, yorkshire, train, ambrosia"
1627386,간식,0.0,0,Released,,0,2,False,,500,,tt39279346,en,간식,A high school student named Eungyo Han is recording her life in 2004.,0.0,,,,,,,
448165,Water Hunters,0.0,0,Released,2016-11-11,0,7,False,,0,,,en,Water Hunters,"The adventures of two thieves in a near and dystopian future, where water has become a currency and is exchanged to buy the food produced by the water itself. A very rare and desired good, managed by unscrupulous corporations, disputed between outlaws and fences of all kinds. The two thieves, rivals first then allies, in a daring run trough intensive farming wastes and the few examples of a responsible consumption, will find themselves comparing the reality of a devastated and arid world with the memories of their childhood, when another future could be written.",0.6,/szlY38uXHgammzrJHMPqp0jPAqc.jpg,,,,,,
11337,Stardust Memories,6.972,370,Released,1980-09-26,10389003,89,False,/phSIp0IbGhPgKyLduTnQ4z2IzsD.jpg,10000000,,tt0081554,en,Stardust Memories,"While attending a retrospect of his work, a filmmaker recalls his life and his loves: the inspirations for his films.",11.507,/y1EHgpL2hMVRcr6tIOy7VGLxaPs.jpg,Woody Allen in his most amusing and witty effort!,"Comedy, Drama, Romance","Jack Rollins & Charles H. Joffe Productions, United Artists",United States of America,"English, French","movie business, violinist, filmmaking, existential crisis"
723624,Sugata Sanshiro,0.0,0,Released,1977-10-29,0,143,False,,0,,tt0189119,ja,姿三四郎,"The story of Sanshiro Sugata, a young man who wants to learn the new art of judo. A wise teacher reveals to Sanshiro that judo is not merely a means of combat nor a demonstration of physical skill, but an art which reveals the artist to himself.",1.169,,,"Drama, Action",TOHO,Japan,Japanese,
